Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Ligue
Osimhen Victor,A,44,82,6.06,5.61,6.01,32,9,34,1.38,1.14,1.36,26,5,27,0.94,0.89,0.91,2583,667,2695,80.72,74.11,79.26,99,100,5,1.69,7,7.5,5.5,5,5,6.5,5,5,4,0,0,8,5,4.5,6.5,6,6.5,8,6,7,8.5,6.5,4,7,6,6.5,8.5,6.5,6.5,0,0,0,0,5,3,4,7,7,16.5,2,,,4,2,41,0.709,892,6,6,43.4,40,,,0,Napoli,,,,,,,SerieA
Martínez Lautaro,A,42,45,5.64,5.64,5.71,38,38,40,1.29,1.29,1.31,21,21,23,0.71,0.71,0.73,2576,2576,2751,67.79,67.79,68.78,123,120,6,2,4.5,8,4.5,6.5,6,8,7,6,4.5,5,4,4.5,4,6.5,3.5,6,5.5,7,7.5,4,6,6,4,6.5,6.5,4.5,5.5,8,7,4.5,5,4,5.5,4,6.5,6,7,5.5,8.5,1,,3,6,9,23,0.755,1213,13,14,46.43,46,,,0,Inter,,,,,,,SerieA
Dia Boulaye,A,26,43,5.36,0,5.32,33,0,34,1.39,0,1.39,16,0,16,0.82,0,0.82,2527,0,2592,76.58,0,76.24,158,162,6,1.63,0,0,6.5,5,4,8,6.5,7.5,5,5,5.5,7,6,4.5,0,0,3.5,3.5,7.5,4.5,6,5,5,3.5,6,4,6,5,4.5,6,3,3.5,5,7,6,8,4,0,5,1,,2,6,4,13,0.7805,994,7,5,36.54,28,,,0,Salernitana,,,,,,,SerieA
Rafael Leão,A,34,72,5.83,7,5.92,35,3,37,1.42,1.73,1.44,15,3,16,0.8,1,0.81,2430,262,2610,69.43,87.33,70.54,162,163,6,2.27,8,5,8,0,5,4,7,7,4.5,4.5,8,6,5,0,8,6,4.5,4.5,4,3.5,6,6,7.5,6.5,4,5.5,4.5,6,5,6,8,0,5,8,5.5,8,5,5,8.5,,,3,8,15,33,0.7405,1330,15,7,45.54,20,,,0,Milan,,,,,,,SerieA
Lookman Ademola,A,26,,5.66,5.17,5.61,31,3,32,1.17,0.76,1.19,13,0,13,0.65,0,0.63,1733,93,1746,55.9,31,54.56,133,134,5.5,2,6,4.5,5,0,0,0,0,0,0,5,6,5,4.5,5.5,4,4,7,4.5,7,8,8,0,4,5.5,4.5,6,7.5,4.5,6.5,7,6.5,5,5,7,6,5.5,5,6,7.5,3,,1,6,10,21,0.7623,970,4,5,39.81,24,,,0,Atalanta,,,,,,,SerieA
Giroud Olivier,A,19,19,5.2,5.71,5.24,33,7,35,1.04,1.32,1.13,13,5,15,0.76,0.71,0.77,2147,470,2274,65.06,67.14,64.97,165,152,3.5,1.46,6,6.5,8,4.5,6,4.5,4.5,0,0,4.5,5,0,6,4.5,5,4.5,6,4,5,4,5,5,5,5,0,3.5,4,0,4.5,6,5,7,6,7,4,6.5,5,4.5,11.5,3,,,5,10,10,0.6367,852,3,5,51.67,38,,,0,Milan,,,,,,,SerieA
MBala Nzola,A,23,,4.85,4.4,4.85,31,5,31,1.4,1.29,1.4,13,0,13,0.94,0.8,0.94,2653,397,2653,85.58,79.4,85.58,204,204,5,1.77,5,2.5,4,6,4.5,0,0,5,3,6,0,3.5,6.5,4.5,7.5,4,0,0,0,0,5.5,4,7.5,7.5,4,4,5.5,4,6,3.5,3.5,7,4.5,4,4,5,3,6,7.5,3,,1,2,2,20,0.7973,1094,7,5,34.16,57,,,0,Spezia,,,,,,,SerieA
Dybala Paulo,A,34,64,6.16,6,6.02,25,1,27,1.31,0,1.36,12,1,12,0.84,1,0.85,1751,90,1919,70.04,90,71.07,146,160,6,2.83,6,0,0,0,5,0,0,4.5,0,6.5,8,5,7,5,4,0,7,7.5,4.5,8,8,4.5,6,6.5,0,0,0,0,0,7,6.5,0,7,4,8,6,7,5.5,10,5,,3,6,12,19,0.8372,1191,8,4,49.75,10,,,0,Roma,,,,,,,SerieA
Kvaratskhelia Khvicha,MO,28,58,6,5.71,6,34,19,34,1.28,1.03,1.28,12,5,12,0.88,0.84,0.88,2539,1435,2539,74.68,75.53,74.68,212,212,6,2.33,6,4.5,6.5,4,6,6,5,5.5,4.5,5,4.5,7,7.5,4.5,6,7,6,7,6,0,9,5,3.5,0,0,0,8,5,7,7,6.5,6,6,7,4.5,5.5,8,7.5,14.5,2,,1,10,14,30,0.8315,1715,5,23,44.79,20,,,0,Napoli,,,,,,,SerieA
Berardi Domenico,A,27,42,5.63,6.43,5.63,26,7,28,1.14,0.89,1.22,12,6,13,0.85,0.86,0.86,1872,550,2023,72,78.57,72.25,156,156,5,2.25,5.5,7,6.5,7,6.5,5,7.5,0,0,5,6,6,7,0,5,0,4.5,6,8,5.5,4.5,6,5,4,4.5,0,0,0,5,0,0,0,0,0,3.5,5,6.5,4.5,5,7,,1,7,8,21,0.7241,1283,19,14,45.49,33,,,0,Sassuolo,,,,,,,SerieA
Immobile Ciro,A,37,45,5.27,5.27,5.27,31,11,31,1.3,1.1,1.3,12,3,12,0.87,0.82,0.87,2228,772,2228,71.87,70.18,71.87,186,186,5.5,3.08,7,6,6.5,6.5,4,5,4,4,5.5,5,4.5,0,0,4.5,4,7.5,4,4.5,4,0,4.5,4.5,6,0,4.5,0,0,0,4.5,8,4,8,6,3.5,6,6,4.5,7,13.5,4,,,5,2,23,0.7751,931,1,5,40,21,,,0,Lazio,,,,,,,SerieA
Sanabria Antonio,A,19,29,5.17,5.21,5.17,33,24,33,1.11,1.14,1.11,12,10,12,0.85,0.88,0.85,2442,1841,2442,74,76.71,74,204,204,5.5,1.58,4,6,6,5,6.5,5,6,5,6,4,7,3,6.5,6.5,6,5.5,4.5,4,6,4,4,6.5,4.5,3.5,0,0,0,0,0,4.5,6,4.5,4.5,5,4,5,4.5,7.5,11.5,1,,1,4,7,11,0.7601,1022,4,5,42.61,33,,,0,Torino,,,,,,,SerieA
Orsolini Riccardo,A,18,38,5.41,5.5,5.39,32,1,33,1.21,0,1.19,11,0,12,0.69,1,0.7,2123,60,2213,66.34,60,67.06,193,184,5,1.64,5.5,0,8,5.5,5,6,6,3.5,0,6,5,4.5,0,5,7,7,5.5,7.5,8,5.5,4,6.5,4.5,4,4,6,6.5,5,0,5.5,4,4.5,4.5,5,4.5,0,4,0,7.5,3,,1,4,4,20,0.6671,1333,8,19,42.81,39,,,0,Bologna,,,,,,,SerieA
Zaccagni Mattia,MO,31,52,5.8,5.7,5.78,35,15,37,1.09,1.01,1.06,10,2,10,0.94,0.87,0.95,2782,1167,2920,79.49,77.8,78.92,278,292,6,3.1,5,5,6,5,4.5,7,5,4.5,6,7.5,7,7,6,5,5,0,4.5,5,5,8,7,6.5,4.5,0,0,5,6,7,5,8,7.5,6,6,6.5,5.5,5,5,4.5,16.5,1,,1,6,10,24,0.8374,1582,21,28,57.92,53,,,0,Lazio,,,,,,,SerieA
Koopmeiners Teun,MD,21,28,5.59,5.83,5.53,33,9,35,1.18,1.39,1.2,10,4,10,0.97,1,0.97,2861,810,3029,86.7,90,86.54,286,303,6,2.1,9,5,5,4,5.5,6,6,6.5,5.5,0,0,0,0,4.5,4.5,3.5,6.5,5.5,6,0,7,6,7,5,4,4.5,6,4,4.5,5,5.5,6,6,5.5,8,7,5,5.5,10,2,,4,4,8,25,0.7695,2164,19,26,48.77,48,,,0,Atalanta,,,,,,,SerieA
Lukaku Romelu,A,24,33,5.38,6.6,5.33,25,5,26,1.18,0.82,1.19,10,5,10,0.76,1,0.77,1663,441,1741,66.52,88.2,66.96,166,174,4.5,2.4,5.5,7,6,7.5,7,0,7.5,8,4.5,5,4.5,4.5,4.5,4.5,4.5,5.5,5,5,4.5,4.5,0,4,5,0,0,0,4.5,0,0,0,0,0,0,0,0,4,6,6,7,2,,2,6,7,12,0.6972,620,,1,40.91,16,,,0,Inter,,,,,,,SerieA
Arnautovic Marko,A,20,23,5.21,5.4,5.2,21,5,22,1.26,1.08,1.23,10,2,10,0.86,0.8,0.86,1540,303,1630,73.33,60.6,74.09,154,163,5.5,2,6,4.5,7,4.5,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,4,6.5,4.5,5,0,6,0,4,3.5,4,7,8,5.5,3.5,6,6,6.5,3,,1,,4,6,0.7421,664,2,6,42.61,22,,,0,Bologna,,,,,,,SerieA
Vlahovic Dusan,A,26,50,5.13,0,5.12,27,0,29,1.28,0,1.26,10,0,11,0.81,0,0.79,1929,0,2005,71.44,0,69.14,193,182,6,2.6,0,0,4,4.5,6.5,6,4.5,4.5,5,4,4,4.5,5.5,4.5,4.5,5,4.5,7.5,4,0,0,0,0,0,0,0,0,5,7.5,2.5,7,4.5,5,0,6,6.5,4,7.5,11.5,2,2,3,2,4,15,0.6562,690,3,6,39.55,19,,,0,Juventus,,,,,,,SerieA
Beto,A,23,57,4.88,4.17,4.88,33,3,33,1.1,0.29,1.1,10,0,10,0.7,0.67,0.7,2133,191,2133,64.64,63.67,64.64,213,213,5.5,2.3,4,4.5,4,0,0,0,0,4.5,0,5.5,3.5,7,5,4,6.5,4,4,4,5,4,6.5,4,4,4.5,4.5,6,4,5,4,4,6.5,5,7.5,4.5,6.5,6.5,4.5,4,6,1,,,1,4,20,0.6508,753,6,9,42.26,36,,,0,Udinese,,,,,,,SerieA
Milinkovic-Savic Sergej,MO,32,42,5.97,5.7,5.97,36,15,38,1.24,1.16,1.22,9,5,10,0.94,0.93,0.95,3028,1277,3208,84.11,85.13,84.42,336,321,6,3.56,7,8,5,7,4.5,4.5,4.5,4.5,5.5,6,7.5,5.5,5,5.5,5.5,0,6.5,6,5.5,7.5,7.5,4.5,4.5,4.5,5.5,0,4.5,6.5,5,8,8.5,8,7,5,6,7,5.5,6.5,18.5,,1,1,8,14,18,0.7556,2601,28,35,51.55,45,,,0,Lazio,,,,,,,SerieA
Felipe Anderson,MO,26,34,5.54,5.54,5.6,38,38,40,1.04,1.04,1.08,9,9,10,0.92,0.92,0.93,2967,2967,3147,78.08,78.08,78.68,330,315,6.5,2.89,6,5,4.5,4.5,5,7,7,5,7.5,5,5.5,6,5,5,5.5,5.5,4,5,5,7,7,7,5,3.5,5,6.5,4,7,5,5.5,7,6,4.5,6,5,7,4.5,5,19.5,,,,2,4,28,0.7925,1988,29,51,48.15,40,,,0,Lazio,,,,,,,SerieA
Dzeko Edin,A,21,32,5.26,4.5,5.24,33,2,34,1.34,0,1.33,9,0,9,0.55,0,0.56,1729,44,1799,52.39,22,52.91,192,200,6.5,2.33,4.5,4.5,0,0,0,8,0,0,4,4.5,4.5,4,4.5,5.5,5,5,4.5,5,7.5,4,4,4,6.5,7.5,8,4,4.5,5.5,5,8,4,5,4.5,7,6.5,4.5,6,4,8,,,,3,4,16,0.7112,796,3,2,44.05,26,,,0,Inter,,,,,,,SerieA
Højlund Rasmus,A,16,24,5.03,5.25,5.03,32,4,32,1.24,1.76,1.24,9,2,9,0.63,0.75,0.63,1833,304,1833,57.28,76,57.28,204,204,6,1.78,6.5,3.5,7,4,0,0,5,4.5,4,3,6,6,4,3.5,3.5,6,7,4.5,5.5,4.5,7.5,6.5,6,4.5,4.5,3.5,6,0,4.5,4.5,4,5.5,4.5,7,4.5,0,0,0,5.5,,,1,2,1,20,0.7199,806,1,3,36.6,21,,,0,Atalanta,,,,,,,SerieA
Rabiot Adrien,MD,25,32,5.78,5.4,5.73,32,5,33,1.08,0.55,1.1,8,0,8,0.97,1,0.97,2751,450,2841,85.97,90,86.09,344,355,6,3.13,5.5,5.5,4.5,5.5,6,0,5.5,4,5.5,6,0,7,7,4.5,6.5,5.5,7,7,4.5,4,3.5,6.5,6,7.5,6,6.5,5.5,8,6.5,5,5,0,0,0,7,5.5,5.5,0,17.5,,,,4,1,13,0.8315,1660,26,35,53.22,45,,,0,Juventus,,,,,,,SerieA
Gabriel Strefezza Gabriel,MO,16,27,5.27,4.5,5.27,35,5,35,1.02,0.94,1.02,8,0,8,0.86,1,0.86,2459,410,2459,70.26,82,70.26,307,307,6,2,6,4.5,4.5,3.5,4,0,6,4.5,7.5,4,5,5,5,4.5,4,6,4,7,6,5,5.5,5,6.5,5.5,5.5,4.5,5.5,4.5,5,7,7,6.5,0,0,4.5,6.5,4.5,5,7,2,,2,4,7,15,0.672,1447,16,26,43.5,51,,,0,Lecce,,,,,,,SerieA
Abraham Tammy,A,32,39,5.11,5.11,5.18,38,38,40,0.94,0.94,0.99,8,8,10,0.63,0.63,0.65,2193,2193,2373,57.71,57.71,59.33,274,237,6,4,4.5,4,5,5,4.5,5.5,6,4,6,4.5,4,4.5,4,4,4.5,5,6,6,4,6,7,6,5,4.5,6,4.5,5.5,4,5.5,6,4.5,5,6,3,7,6,6,5.5,7.5,,,1,3,8,19,0.6761,882,3,10,47.58,33,,,0,Roma,,,,,,,SerieA
Arthur Cabral,A,17,26,5.04,6.5,4.97,28,1,30,0.94,0,0.96,8,1,8,0.54,1,0.53,1431,90,1502,51.11,90,50.07,179,188,5.5,2.13,6.5,0,0,0,0,4,0,4.5,6,4,6,4.5,6,5,7,6,4.5,4.5,4.5,0,0,4.5,6.5,5,4,5,6.5,5.5,5.5,0,4.5,4,4.5,4.5,3.5,0,4.5,0,4,2,,,1,,10,0.7026,543,1,2,43.54,26,,,0,Fiorentina,,,,,,,SerieA
Ciofani Daniel,A,12,,4.77,5.3,4.77,32,5,32,0.77,1.2,0.77,8,2,8,0.31,0.6,0.31,1056,283,1056,33,56.6,33,132,132,5,1.5,5,4.5,6,4,7,0,4.5,0,0,4.5,5,6,4.5,4,5.5,4.5,4.5,4,4,4,6.5,5,4.5,4.5,4,5,4.5,4,4.5,4.5,6,0,4.5,4.5,0,4.5,4.5,0,3.5,3,,,,1,5,0.6441,332,2,3,37.84,9,,,0,Cremonese,,,,,,,SerieA
Frattesi Davide,MD,24,29,5.57,0,5.59,36,0,38,0.96,0,0.96,7,0,7,0.97,0,0.97,2892,0,3034,80.33,0,79.84,413,433,6,3.43,0,0,5.5,6.5,5,6,5,5,6,5,5.5,4.5,5.5,7,5.5,4,6,6,6,7,4.5,6,4.5,3.5,6,4.5,4.5,7.5,6,6,6.5,6,7,5.5,5,7,5.5,4,9,,,,,3,22,0.7921,1540,16,36,53.8,39,,,0,Sassuolo,,,,,,,SerieA
Ferguson Lewis,MD,14,17,5.56,5.6,5.56,32,31,32,0.81,0.8,0.81,7,7,7,0.84,0.87,0.84,2324,2318,2324,72.63,74.77,72.63,332,332,6,2,6,7,7,5.5,5.5,4.5,5,5.5,5.5,5.5,5,6,5.5,5,5.5,5.5,4,5,6.5,5.5,6.5,5,5,7,5,5.5,7,7,5,5,5,0,0,0,0,4.5,0,0,10,,,1,,,10,0.8495,1541,19,25,47.83,50,,,0,Bologna,,,,,,,SerieA
Candreva Antonio,MO,25,34,5.49,6.88,5.53,35,4,37,1.26,1.03,1.27,7,3,7,0.91,0.75,0.92,2736,268,2880,78.17,67,77.84,391,411,5.5,3.57,5.5,8,7,7,0,0,5,7,5.5,7,5,6.5,5.5,6,8,5,5,5,5,5.5,3,5.5,0,2.5,4.5,6,6,5.5,5,5.5,3,6,5.5,3.5,6,6.5,5,4.5,6,,1,3,4,5,40,0.7925,1861,17,7,50.4,7,,,0,Salernitana,,,,,,,SerieA
Laurienté Armand,MO,18,26,5.46,0,5.62,28,0,33,1.39,0,1.4,7,0,9,0.96,0,0.94,2191,0,2569,78.25,0,77.85,313,285,6,2.57,0,0,0,4,4.5,3.5,5,4,5,4.5,4.5,6,8.5,8.5,0,5,4.5,7,7,5.5,5,4,5,4,6,0,4,7,0,6,8,5.5,6,5.5,0,0,0,0,8.5,1,1,1,6,7,28,0.7816,1250,12,15,45.85,22,,,0,Sassuolo,,,,,,,SerieA
El Shaarawy Stephan,MO,15,18,5.31,6.17,5.32,29,3,31,0.92,1.04,0.9,7,2,7,0.48,1,0.45,1520,225,1573,52.41,75,50.74,217,225,5,2.14,7,6.5,5,0,0,7,4,5,5.5,5.5,7,4.5,5.5,0,4,5.5,4.5,5,6,7,0,5,5,5,4.5,4.5,6.5,4.5,4.5,0,0,0,0,0,5,5,5.5,4.5,8,,,,2,,15,0.8106,1092,15,9,45,16,,,0,Roma,,,,,,,SerieA
Gabbiadini Manolo,A,13,16,4.96,5.04,4.96,35,13,35,1.18,1.39,1.18,7,3,7,0.77,1,0.77,2367,1087,2367,67.63,83.62,67.63,338,338,6,1.86,5.5,7,3.5,6,5,4,3.5,4.5,6,4.5,4,8,4,0,4.5,5.5,4.5,8,5,4,4.5,5.5,7,4.5,4.5,4.5,3.5,5.5,4,5,3.5,5,5,4,6,4.5,0,0,3,,,1,2,9,13,0.7129,995,6,15,45.39,41,,,0,Sampdoria,,,,,,,SerieA
Milik Arkadiusz,A,13,21,4.96,4.3,4.97,27,5,30,1.13,0.76,1.1,7,0,7,0.63,0.6,0.67,1581,288,1801,58.56,57.6,60.03,226,257,6,1.86,5,4.5,3,4.5,4.5,0,6,4,4,4,5,0,0,0,0,0,0,0,5,6.5,5.5,4.5,7,7,4.5,5,5,4,4.5,5,7,0,2.5,6,6,4.5,0,0,9.5,,1,1,1,4,5,0.7766,680,1,8,44.67,27,,,0,Juventus,,,,,,,SerieA
Okereke David,A,10,,4.95,5,5.01,33,1,34,0.79,0,0.86,7,0,8,0.76,0,0.76,2273,45,2353,68.88,45,69.21,325,294,5.5,1.43,5,0,3.5,4,5.5,6,6,4.5,4,0,0,5,5,5.5,6,5.5,0,0,5.5,6,4.5,4.5,4,4.5,4.5,6,4.5,5,5.5,4.5,5.5,4,4.5,4.5,6.5,4,4,6,5,1,,3,,1,9,0.7206,883,10,8,41.32,21,,,0,Cremonese,,,,,,,SerieA
Luis Alberto,MO,26,29,5.76,5.91,5.74,35,22,36,1.02,1.1,1.01,6,3,6,0.77,1,0.78,2443,1902,2519,69.8,86.45,69.97,407,420,6,4.33,8,5,7,6,5.5,5.5,5,5.5,6,7,6,6.5,5,5.5,7.5,5,4.5,4.5,5,8.5,5.5,6,0,5.5,0,5,6,0,4.5,6,6.5,5,6.5,4.5,5.5,7,5,4.5,15.5,1,,3,7,7,23,0.8528,2306,8,30,41.01,15,,,0,Lazio,,,,,,,SerieA
Díaz Brahim,MO,14,20,5.56,6.25,5.54,33,4,34,1.04,1.55,1.03,6,1,6,0.82,1,0.79,1947,295,1965,59,73.75,57.79,325,328,7,2.33,6,5.5,8.5,5,0,4.5,5,5.5,4.5,5.5,8,4.5,4.5,0,6,5.5,5.5,4.5,0,4.5,6,6,6,5,5.5,6,4.5,7.5,5.5,7,4.5,5,0,5,5,0,5,7,10,,,,7,11,16,0.8118,1116,7,15,45.79,29,,,0,Milan,,,,,,,SerieA
Barella Nicolò,MO,22,24,5.5,5.33,5.53,35,3,37,0.94,1.04,0.92,6,1,6,0.89,0.67,0.89,2621,174,2738,74.89,58,74,437,456,5.5,3.67,5,6.5,4.5,0,6,0,5.5,4.5,4.5,5,4.5,4.5,5,6.5,5.5,6.5,5.5,6,0,4.5,5,4.5,6.5,5,6,4.5,7,6,7,5,5.5,5.5,7,4.5,8,4.5,6,5,9.5,,1,1,6,4,21,0.8496,2001,12,25,55.43,32,,,0,Inter,,,,,,,SerieA
Elmas Eljif,MO,23,28,5.49,6,5.47,36,1,38,0.7,0,0.69,6,0,6,0.39,1,0.39,1615,68,1707,44.86,68,44.92,269,285,6,3.83,6,0,5.5,4.5,5.5,4.5,5,6,5.5,5.5,5,4.5,6,5,5.5,6,7,5,5,6,7,6.5,5.5,7,5,6,5,5,4.5,0,5,5,5.5,5.5,6.5,5,5.5,5,8.5,1,,,3,3,15,0.8602,1256,11,13,42.31,22,,,0,Napoli,,,,,,,SerieA
Ciurria Patrick,A,18,24,5.46,5.55,5.46,36,33,36,1.2,1.22,1.2,6,6,6,0.86,0.94,0.86,2758,2693,2758,76.61,81.61,76.61,460,460,7,3,3.5,5,8,6,6,5,7,4.5,6.5,5,3.5,5.5,5.5,7,4,5,5.5,4.5,7,6,7,7,5.5,6,5,7,5,3,4.5,6,7,6,4,0,4.5,4.5,0,4.5,15,,,1,5,9,19,0.8214,1683,7,18,49.51,32,,,0,Monza,,,,,,,SerieA
Cambiaghi Nicolò,MO,9,9,5.39,5.68,5.39,28,11,28,1.15,1.23,1.15,6,3,6,0.43,0.73,0.43,1279,713,1279,45.68,64.82,45.68,213,213,6,1.5,6,6,7,5,7,7,7,4,5,4,4.5,0,0,0,0,6,8,5,4.5,5,4.5,6,4.5,7.5,0,5,5,0,0,4.5,4.5,5,4,0,0,0,4.5,5,5,,,,1,,18,0.8159,733,9,22,53.77,25,,,0,Empoli,,,,,,,SerieA
Posch Stefan,DC,18,18,5.35,5.33,5.35,30,3,30,1.24,1.53,1.24,6,1,6,1,1,1,2542,213,2542,84.73,71,84.73,424,424,6,3,5,4,7,0,4.5,3.5,4.5,4.5,6,6,8,4.5,4,5,5,5.5,5.5,6.5,6.5,5.5,6,3.5,5,6,3,7,7.5,6,4,0,0,5,6.5,0,0,0,0,0,12.5,,,1,2,3,12,0.7583,2221,35,43,52.69,47,,,0,Bologna,,,,,,,SerieA
González Nicolás,A,12,22,5.31,6.5,5.31,24,1,26,0.91,0,0.9,6,1,8,0.54,0,0.58,1352,33,1532,56.33,33,58.92,225,192,4.5,2,6.5,0,0,5,4,6.5,6,0,6.5,4.5,0,5.5,4,6,7,5,4.5,6,6.5,5,5,5,0,0,0,0,0,4.5,5,4,0,6,0,0,0,0,5,4.5,4,2,,1,1,2,19,0.6677,891,4,10,60.53,16,,,0,Fiorentina,,,,,,,SerieA
Carlos Augusto,DL,14,20,5.24,5.33,5.24,35,15,35,1.3,1.22,1.3,6,2,6,1,1,1,3087,1325,3087,88.2,88.33,88.2,515,515,6.5,2.33,3,5,5.5,6,5,6,8,4.5,6,6,4.5,6.5,5.5,5,3.5,0,0,5,7.5,4.5,5,4.5,6.5,8,4.5,7,4,3,4.5,7.5,5,5.5,4.5,4.5,3.5,4.5,0,4.5,13,,,,5,5,18,0.84,2173,24,38,55.66,41,,,0,Monza,,,,,,,SerieA
Jovic Luka,A,9,,4.87,0,4.87,31,0,31,1.07,0,1.07,6,0,6,0.52,0,0.52,1527,0,1527,49.26,0,49.26,255,255,6,1.5,0,7,6,0,5.5,4.5,7,4.5,0,4,0,0,4,6.5,4.5,4,4,5,5,4,5,0,4.5,4.5,6,4.5,5.5,6,4,3,5,0,4,3,4.5,4.5,4.5,7,3,,,,3,2,10,0.7254,477,2,3,36.25,23,,,0,Fiorentina,,,,,,,SerieA
Caputo Francesco,A,14,22,4.76,0,4.72,36,0,38,0.94,0,0.96,6,0,6,0.92,0,0.89,2819,0,2934,78.31,0,77.21,470,489,6,2.33,0,0,7.5,4,6.5,5,4,3.5,4,4,6,5.5,4,4,4.5,5.5,6,4,6,5,5,6,5.5,4.5,4,4.5,3.5,4.5,4,5,4,4,4,6,4.5,5,4.5,4,8,2,,,4,4,16,0.7073,871,3,3,39.2,18,,,0,Empoli,,,,,,,SerieA
Kean Moise,A,11,,4.71,4.38,4.65,28,4,30,1.06,0.25,1.07,6,0,6,0.39,0.25,0.4,989,123,1093,35.32,30.75,36.43,165,182,5.5,1.83,4.5,4.5,4,4.5,0,0,0,0,0,0,5.5,0,0,2,4.5,6,4,4.5,3.5,4.5,4.5,4,5,8,6,0,5,6.5,5,5,4.5,4,4,4.5,5,4.5,4.5,0,5,,,1,,1,11,0.6329,388,5,6,37.69,15,,,0,Juventus,,,,,,,SerieA
Dessers Cyriel,A,14,28,4.63,0,4.63,26,0,26,1.06,0,1.06,6,0,6,0.73,0,0.73,1593,0,1593,61.27,0,61.27,266,266,5.5,2.33,0,0,0,0,0,0,4,5,6,6,4.5,4,4,7.5,0,0,0,3.5,4.5,0,6,4.5,4,4.5,0,0,4,2.5,6,5.5,4.5,3,4.5,4,4,4.5,5,5,3.5,,,,2,2,16,0.6274,523,3,4,29.83,34,,,0,Cremonese,,,,,,,SerieA
Ceesay Assan,A,11,,4.62,4.47,4.62,34,16,34,0.82,0.81,0.82,6,3,6,0.59,0.63,0.59,1812,883,1812,53.29,55.19,53.29,302,302,5,1.83,4.5,4.5,4.5,4,3.5,5,4,4,6,3.5,4.5,4.5,4,4.5,4,6.5,0,0,4.5,0,0,4.5,4,4.5,4.5,4,4,4,6,5.5,4.5,6.5,5,4.5,4,4.5,4.5,6.5,2,1,,1,,1,11,0.5808,715,3,18,46.05,36,,,0,Lecce,,,,,,,SerieA
Bonaventura Giacomo,MO,17,17,5.6,5,5.58,30,1,32,0.83,0,0.93,5,0,5,0.7,0,0.72,1912,32,2092,63.73,32,65.38,382,418,5.5,3.4,5,0,0,5.5,5.5,6,0,0,4.5,5,7,5,0,6.5,5,5,4.5,6,6,5,4.5,6.5,5,0,7,7.5,5,6,5,5,5,5,6,0,0,6,6,7,5.5,,,,1,3,21,0.841,1234,16,23,51.14,24,,,0,Fiorentina,,,,,,,SerieA
Pessina Matteo,MO,17,24,5.57,5.7,5.53,35,10,37,0.92,1.01,0.92,5,2,5,0.97,1,0.95,2938,871,3041,83.94,87.1,82.19,588,608,6,3.4,4,5.5,7.5,7,5,5.5,5.5,6,6,5,0,5.5,5.5,5.5,4,6,5.5,6,6,6,5.5,6,5.5,7.5,4,6,5,6,5,7,7,5.5,5,4.5,4.5,4,0,0,14,3,,,3,2,8,0.8597,2522,37,37,52.62,41,,,0,Monza,,,,,,,SerieA
Junior Messias Junior,MO,13,,5.54,5.17,5.56,25,3,26,0.96,0.76,0.94,5,0,5,0.76,1,0.73,1509,200,1544,60.36,66.67,59.38,302,309,6.5,2.6,5,6,4.5,0,5.5,7,0,5.5,5,0,0,0,0,5,7.5,7.5,0,4,5,4.5,5,0,0,0,6,6,6.5,6,0,0,0,4.5,7,5.5,5,5,5,5,5.5,,1,1,2,4,15,0.7743,840,8,18,48.86,24,,,0,Milan,,,,,,,SerieA
Vlasic Nikola,A,13,16,5.5,5.58,5.5,34,12,34,0.91,1.16,0.91,5,1,5,0.85,0.75,0.85,2731,886,2731,80.32,73.83,80.32,546,546,6,2.6,5,8,4.5,7,6,6,4.5,6.5,5,5,5.5,4,0,0,0,0,5,5,5,5.5,4.5,6,5,5,7,5,5,5.5,5.5,4.5,4.5,5.5,5.5,6,7,7,6,5,8.5,,,1,6,2,17,0.8116,1423,10,21,42.47,32,,,0,Torino,,,,,,,SerieA
Verdi Simone,A,12,20,5.35,4.5,5.35,24,1,26,1.04,0,1,5,0,5,0.5,0,0.54,1088,31,1231,45.33,31,47.35,218,246,7,2.4,4.5,0,5,4.5,4.5,5,7,8.5,5.5,5,5,0,7,5,5,0,4.5,0,0,0,0,5.5,5,7,5,4.5,0,4.5,4.5,5.5,5,6,0,0,0,0,0,0,2,1,,,,4,11,0.7989,649,,10,48.28,15,,,0,Verona,,,,,,,SerieA
